affil_id,affil,affil_clean,univ
120,"a & m technology co.,ltd","a & m technology co.,ltd",0
4,abbvie,abbvie,0
199,abbvie deutschland gmbh & co. kg,abbvie deutschland gmbh & co. kg,0
135,abbvie inc,abbvie,0
68,abbvie inc.,abbvie,0
245,"abbvie, inc.",abbvie,0
306,adm,adm,0
237,"airex co., ltd.","airex co., ltd.",0
43,"alabama center for paper and bioresource engineering, dept. of chemical engineering, auburn university","alabama center for paper and bioresource engineering, dept. of chemical engineering, auburn university",0
180,albert einstein college of medicine,albert einstein college of medicine,0
148,alconbury weston ltd,alconbury weston ltd,0
92,amgen,amgen,0
346,amgen inc,amgen,0
77,amgen inc.,amgen,0
335,"amgen, inc.",amgen,0
70,"aptuit, an evotec company","aptuit, an evotec company",0
307,archer daniels midland (adm),archer daniels midland (adm),0
333,aristotle university of thessaloniki,aristotle university of thessaloniki,1
185,arizona state university,arizona state university,1
200,"artie mcferrin department of chemical engineering, texas a&m university",texas a&m university,1
58,astrazeneca,astrazeneca,0
5,astrazeneca r&d gothenburg,astrazeneca,0
42,auburn university,auburn university,1
175,axalta coating systems,axalta coating systems,0
266,bielefeld university,bielefeld university,1
124,biogen,biogen,0
71,blackthorn therapeutics,blackthorn therapeutics,0
317,bms,bms,0
125,boehringer ingelheim,boehringer ingelheim,0
154,boehringer ingelheim pharma gmbh & co. kg,boehringer ingelheim,0
152,boehringer ingelheim pharmaceutical company,boehringer ingelheim,0
99,boehringer-ingelheim,boehringer ingelheim,0
214,boston university,boston university,1
96,bristol myers squibb,bristol myers squibb,0
290,"bristol myers squibb, 556 morris ave, summit nj 07901, usa",bristol myers squibb,0
91,bristol-myers squibb,bristol myers squibb,0
263,brookhaven national laboratory,brookhaven national laboratory,0
229,"c-sops, rutgers university",rutgers university,1
66,cambrex high point,cambrex high point,0
275,capscanada,capscanada,0
15,carnegie mellon university,carnegie mellon university,1
227,cder/fda,fda,0
101,cea saclay,cea saclay,0
102,"cea, den","cea, den",0
221,children's hospital colorado,children's hospital colorado,0
136,clemson university,clemson university,1
323,cmac,cmac,0
103,cnrs,cnrs,0
