title,url,session,session_url,sessionid,talkid
"8:00 AM 98a Impact of Dry Coating on the Agglomeration and Dissolution of Cohesive, Poorly Water-Soluble Drug Powders",/aiche2020/event/96868813093b2393058dcdb89de6e0a6,Advancements in Particle Engineering and Material Sciences in Pharmaceutical Process Development,/aiche2020/event/a9c5877e-5ef2-41ba-a9d0-ae9708c10558,0,0.0
8:00 AM 98b Using the Conical Screen Mill As a Practical and Effective Dry-Coating Process to Enable Direct Compaction for High Drug Loading Formulations,/aiche2020/event/96868813093b2393058dcdb89ddd6585,Advancements in Particle Engineering and Material Sciences in Pharmaceutical Process Development,/aiche2020/event/a9c5877e-5ef2-41ba-a9d0-ae9708c10558,0,1.0
8:00 AM 98c Effect of ALD and MLD Coating on Wetting and Flow Properties of Micron-Sized Inhalation Pharmaceutical Powders,/aiche2020/event/283ce3bcb18028bc8c82272abb966539,Advancements in Particle Engineering and Material Sciences in Pharmaceutical Process Development,/aiche2020/event/a9c5877e-5ef2-41ba-a9d0-ae9708c10558,0,2.0
8:00 AM 98d Impact of the Micro/Nano- Structural Properties of Materials on Tribo-Charging: A Case Study on Salbutamol Sulphate Particles,/aiche2020/event/283ce3bcb18028bc8c82272abb8a85cd,Advancements in Particle Engineering and Material Sciences in Pharmaceutical Process Development,/aiche2020/event/a9c5877e-5ef2-41ba-a9d0-ae9708c10558,0,3.0
8:00 AM 98e Inverse Gas Chromatography (IGC) of Pharmaceutical Powders: Harnessing the Power of Adhesion-Cohesion Forces to Improve Pharmaceutical Development,/aiche2020/event/7d1b67152194cb166004d468df5371e4,Advancements in Particle Engineering and Material Sciences in Pharmaceutical Process Development,/aiche2020/event/a9c5877e-5ef2-41ba-a9d0-ae9708c10558,0,4.0
8:00 AM 98f Spherical Agglomeration of Paracetamol: A Mechanistic Approach,/aiche2020/event/7d1b67152194cb166004d468df5ad7cf,Advancements in Particle Engineering and Material Sciences in Pharmaceutical Process Development,/aiche2020/event/a9c5877e-5ef2-41ba-a9d0-ae9708c10558,0,5.0
8:00 AM 98g Reduction of Punch-Sticking Propensity of Celecoxib By Spherical Crystallization Via Polymer Assisted Quasi-Emulsion Solvent Diffusion,/aiche2020/event/283ce3bcb18028bc8c82272abb8afb7e,Advancements in Particle Engineering and Material Sciences in Pharmaceutical Process Development,/aiche2020/event/a9c5877e-5ef2-41ba-a9d0-ae9708c10558,0,6.0
"8:00 AM 45a Discovery of Light-Driven Hydrogen Evolution Catalysts Using High Throughput Simulation, Experiments and Machine Learning",/aiche2020/event/283ce3bcb18028bc8c82272abb96e4a0,Applications of Data Science in Catalysis and Reaction Engineering I,/aiche2020/event/a192bd58-d536-4aaf-b64b-0ce3c3d8fa87,1,0.0
8:00 AM 45b High Throughput Screening of Alloy Structures for Propane Dehydrogenation Reaction,/aiche2020/event/7d1b67152194cb166004d468df4a75b4,Applications of Data Science in Catalysis and Reaction Engineering I,/aiche2020/event/a192bd58-d536-4aaf-b64b-0ce3c3d8fa87,1,1.0
"8:00 AM 45c Theory-Guided, Interpretable Machine Learning Finds Predictive Geometric Structure-Property Relationships for Chemisorption on Alloys",/aiche2020/event/7d1b67152194cb166004d468df4f6eca,Applications of Data Science in Catalysis and Reaction Engineering I,/aiche2020/event/a192bd58-d536-4aaf-b64b-0ce3c3d8fa87,1,2.0
8:00 AM 45d Trends in Catalyst Stability and Reactivity: Extracting Physical Insights Using Simple Data-Driven Approaches,/aiche2020/event/74d8cf75e00c20cd8f09bd3f0e5b77c5,Applications of Data Science in Catalysis and Reaction Engineering I,/aiche2020/event/a192bd58-d536-4aaf-b64b-0ce3c3d8fa87,1,3.0
8:00 AM 45e Orienteering in an Uncharted Chemical Space: Searching for an Optimal Bimetallic Nanocatalyst,/aiche2020/event/74d8cf75e00c20cd8f09bd3f0e5b441c,Applications of Data Science in Catalysis and Reaction Engineering I,/aiche2020/event/a192bd58-d536-4aaf-b64b-0ce3c3d8fa87,1,4.0
8:00 AM 45f Physics Informed Machine Learning of Chemisorption at Metal Surfaces,/aiche2020/event/7d1b67152194cb166004d468df4f7143,Applications of Data Science in Catalysis and Reaction Engineering I,/aiche2020/event/a192bd58-d536-4aaf-b64b-0ce3c3d8fa87,1,5.0
8:00 AM 45g Improved Catalyst Predictions with Machine Learning Coupled Alchemical Perturbation Density Functional Theory,/aiche2020/event/7d1b67152194cb166004d468df458d89,Applications of Data Science in Catalysis and Reaction Engineering I,/aiche2020/event/a192bd58-d536-4aaf-b64b-0ce3c3d8fa87,1,6.0
8:00 AM 106a Molecular Design Blueprints: Catalysts and Principles from New Simulation and Machine Learning Tools,/aiche2020/event/283ce3bcb18028bc8c82272abb8f4915,Applications of Data Science in Catalysis and Reaction Engineering II,/aiche2020/event/8e4a6c87-a500-4897-ac60-adba287128fe,2,0.0
8:00 AM 106b Machine Learning Quantum Tunneling in the Kinetics of Chemical ReactionsPresenting Author: Stephanie Valleau,/aiche2020/event/7d1b67152194cb166004d468df458543,Applications of Data Science in Catalysis and Reaction Engineering II,/aiche2020/event/8e4a6c87-a500-4897-ac60-adba287128fe,2,1.0
8:00 AM 106c Improved Catalyst Design and Performance through Application of Machine Learning Algorithms,/aiche2020/event/283ce3bcb18028bc8c82272abb8d80fd,Applications of Data Science in Catalysis and Reaction Engineering II,/aiche2020/event/8e4a6c87-a500-4897-ac60-adba287128fe,2,2.0
8:00 AM 106d Improving the Reusability of Machine Learning Models for Materials,/aiche2020/event/283ce3bcb18028bc8c82272abb83e481,Applications of Data Science in Catalysis and Reaction Engineering II,/aiche2020/event/8e4a6c87-a500-4897-ac60-adba287128fe,2,3.0
8:00 AM 106e The Open Catalyst Project Dataset,/aiche2020/event/74d8cf75e00c20cd8f09bd3f0e5b589f,Applications of Data Science in Catalysis and Reaction Engineering II,/aiche2020/event/8e4a6c87-a500-4897-ac60-adba287128fe,2,4.0
8:00 AM 106f Active-Learning Framework for the Discovery of Novel Materials for Catalysis,/aiche2020/event/96868813093b2393058dcdb89de6a481,Applications of Data Science in Catalysis and Reaction Engineering II,/aiche2020/event/8e4a6c87-a500-4897-ac60-adba287128fe,2,5.0
8:00 AM 106g Identifying Interaction Trends between Single Metal Atoms and Modified MgO(100) Supports with Statistical Learning,/aiche2020/event/74d8cf75e00c20cd8f09bd3f0e56d74f,Applications of Data Science in Catalysis and Reaction Engineering II,/aiche2020/event/8e4a6c87-a500-4897-ac60-adba287128fe,2,6.0
8:00 AM 106h How to Fix Some of Our Errors Via Data SciencePresenting Author: Dionisios G. Vlachos,/aiche2020/event/74d8cf75e00c20cd8f09bd3f0e49ae26,Applications of Data Science in Catalysis and Reaction Engineering II,/aiche2020/event/8e4a6c87-a500-4897-ac60-adba287128fe,2,7.0
8:00 AM 109a Optimization-Driven Quasi-Deterministic Monte Carlo Sampling for Accurate Uncertainty Quantification: Applications to the Pharmaceutical Industry,/aiche2020/event/74d8cf75e00c20cd8f09bd3f0e592c6c,Big-Data for Process Applications,/aiche2020/event/11bd657f-1892-4909-aa73-b75a1249e479,3,0.0
"8:00 AM 109b Topological Data Analysis: Concepts, Computation, and Applications",/aiche2020/event/7d1b67152194cb166004d468df55176f,Big-Data for Process Applications,/aiche2020/event/11bd657f-1892-4909-aa73-b75a1249e479,3,1.0
8:00 AM 109c Computational Fluid Dynamics-Based in-Situ Sensor Analytics of  Direct Metal Laser Sintering Process Using Machine Learning,/aiche2020/event/7d1b67152194cb166004d468df47172a,Big-Data for Process Applications,/aiche2020/event/11bd657f-1892-4909-aa73-b75a1249e479,3,2.0
8:00 AM 109d A Data-Engineering Approach for Estimating Chemical Releases from Industrial Pollution Abatement Technologies,/aiche2020/event/96868813093b2393058dcdb89ddcac58,Big-Data for Process Applications,/aiche2020/event/11bd657f-1892-4909-aa73-b75a1249e479,3,3.0
8:00 AM 109e Physics Informed Machine-Learning for Static Security Analysis of Optimal Power Flow Solutions,/aiche2020/event/7d1b67152194cb166004d468df59ebb6,Big-Data for Process Applications,/aiche2020/event/11bd657f-1892-4909-aa73-b75a1249e479,3,4.0
8:00 AM 109f Statistics Pattern Analysis-Based Multiclass Woodchip Moisture Classification System Using Short-Range Iot Wi-Fi,/aiche2020/event/283ce3bcb18028bc8c82272abb9ee977,Big-Data for Process Applications,/aiche2020/event/11bd657f-1892-4909-aa73-b75a1249e479,3,5.0
8:00 AM 109g Proad (Process Advisor): Health Monitoring Dashboard for Centrifugal Pumps,/aiche2020/event/283ce3bcb18028bc8c82272abb900877,Big-Data for Process Applications,/aiche2020/event/11bd657f-1892-4909-aa73-b75a1249e479,3,6.0
8:00 AM 109h Data-Driven Approaches Towards Real-Time Equipment Health Monitoring and Predictive Maintenance in Drug Product Manufacturing,/aiche2020/event/74d8cf75e00c20cd8f09bd3f0e597f7b,Big-Data for Process Applications,/aiche2020/event/11bd657f-1892-4909-aa73-b75a1249e479,3,7.0
8:00 AM 48a Tandem Metal Nanoparticle-Oxidase Catalysis for Selective Oxidation Reactions,/aiche2020/event/283ce3bcb18028bc8c82272abb51b971,Biological Catalysis and Enzymatic Catalysis,/aiche2020/event/56511bf5-5425-4084-8f86-702d04e2c716,4,0.0
8:00 AM 48b A Redox-Active Hydrogel Mediates Electron Transfer for Efficient Electrosynthetic Hydrogen Evolution Via Three Classes of Hydrogenases,/aiche2020/event/283ce3bcb18028bc8c82272abb8ba3f2,Biological Catalysis and Enzymatic Catalysis,/aiche2020/event/56511bf5-5425-4084-8f86-702d04e2c716,4,1.0
8:00 AM 48c Characterizing the Biocatalytic Properties of Cytosolically Expressed Penicillin G Acylase from E. coli for the Synthesis of Cephalexin and Comparison with βF24A Mutant,/aiche2020/event/74d8cf75e00c20cd8f09bd3f0e5717c3,Biological Catalysis and Enzymatic Catalysis,/aiche2020/event/56511bf5-5425-4084-8f86-702d04e2c716,4,2.0
8:00 AM 48f Dynamics of the Urea-Urease Reaction in CSTR – Experiments and Detailed Model,/aiche2020/event/7d1b67152194cb166004d468df4e8fcc,Biological Catalysis and Enzymatic Catalysis,/aiche2020/event/56511bf5-5425-4084-8f86-702d04e2c716,4,3.0
8:00 AM 48g CA@ZIF-L-Stabilized Pickering Interfacial Catalytic System for Efficient CO2 Conversion,/aiche2020/event/7d1b67152194cb166004d468df4deb4a,Biological Catalysis and Enzymatic Catalysis,/aiche2020/event/56511bf5-5425-4084-8f86-702d04e2c716,4,4.0
8:00 AM 48h Immobilization of Threonine Aldolase and Its Application in the Synthesis of Chiral β-Hydroxy-α-Amino AcidPresenting Author: Kaitong Chen,/aiche2020/event/96868813093b2393058dcdb89ddecf80,Biological Catalysis and Enzymatic Catalysis,/aiche2020/event/56511bf5-5425-4084-8f86-702d04e2c716,4,5.0
8:00 AM 231a Disorder and Entropy in Molecular Crystals,/aiche2020/event/74d8cf75e00c20cd8f09bd3f0e5e4a85,Computational solid state pharmaceutics,/aiche2020/event/71f2432d-610f-46e3-9ae3-5d825df67e91,5,0.0
8:00 AM 231b A Simple Fix Addresses Severe Density Functional Theory Polymorph Ranking Problems in PharmaceuticalsPresenting Author: Gregory Beran,/aiche2020/event/283ce3bcb18028bc8c82272abb818af7,Computational solid state pharmaceutics,/aiche2020/event/71f2432d-610f-46e3-9ae3-5d825df67e91,5,1.0
8:00 AM 231c Virtual Coformer Screening by Cloud-Computing Crystal Structure Predictions,/aiche2020/event/283ce3bcb18028bc8c82272abb816868,Computational solid state pharmaceutics,/aiche2020/event/71f2432d-610f-46e3-9ae3-5d825df67e91,5,2.0
8:00 AM 231f Morphology Prediction for Organic Salt Crystals,/aiche2020/event/96868813093b2393058dcdb89dde0314,Computational solid state pharmaceutics,/aiche2020/event/71f2432d-610f-46e3-9ae3-5d825df67e91,5,3.0
8:00 AM 231g Mitigating Punch Sticking Propensity of Celecoxib By Cocrystallization – an Integrated Computational and Experimental Approach,/aiche2020/event/7d1b67152194cb166004d468df56d2b7,Computational solid state pharmaceutics,/aiche2020/event/71f2432d-610f-46e3-9ae3-5d825df67e91,5,4.0
8:00 AM 121a Microfluidics-Based Biocatalyst-Product Separation for Continuous Enzymatic Processes. a Case Study on β-Lactam Antibiotics Manufacturing,/aiche2020/event/7d1b67152194cb166004d468df4cf7a4,Continuous Processing in Drug Substance Development and Manufacturing,/aiche2020/event/97352d97-f49c-4cbd-9c58-bbb2c0d39cbb,6,0.0
8:00 AM 121b Novel Integration of Continuous Crystallization Platforms for Control of Crystal Size Distribution and Polymorphic Form,/aiche2020/event/7d1b67152194cb166004d468df53d8f2,Continuous Processing in Drug Substance Development and Manufacturing,/aiche2020/event/97352d97-f49c-4cbd-9c58-bbb2c0d39cbb,6,1.0
8:00 AM 121c A Scalable Membrane Pervaporation Approach for Continuous Flow Ring Closing Metathesis,/aiche2020/event/283ce3bcb18028bc8c82272abb96ede8,Continuous Processing in Drug Substance Development and Manufacturing,/aiche2020/event/97352d97-f49c-4cbd-9c58-bbb2c0d39cbb,6,2.0
