"sessionid","univ only","session","session_url"
16,0,"Predictive Scale-Up/Scale-Down for Production of Pharmaceuticals and Biopharmaceuticals I","/aiche2020/event/095554b6-8877-4f7b-9618-c2676d06df88"
23,0,"Formulation Design and Drug Product Development (Invited Talks)","/aiche2020/event/79d87126-e542-472e-ba32-74197cd5fd34"
24,0,"Integrated Design for Drug Product Processes","/aiche2020/event/35e84939-f23d-4065-9d9c-4228e066d2ed"
30,0,"Sponsored Technology Workshop - Microstructure Characterization for Drug Development: Novel AI Analytics and Release Prediction - DigiM Solution","/aiche2020/event/e430bfac52a4e2f377e90ce3a860054f"
38,0,"Mixing Scale-Up and Scale-Down Issues in Pharmaceutical Processes","/aiche2020/event/529a6450-4ed0-4207-97df-73782b02751a"
45,0,"Novel Excipients in Formulation Design and Drug Delivery","/aiche2020/event/35fb0c0b-be95-4257-8d06-981ec6e26592"
50,0,"Pharma 4.0: Process Analytical Technology and Modeling","/aiche2020/event/b53d1208-c1fb-4dbe-b845-1cc29d5006fe"
54,0,"PD2M Plenary Session Part 1, Expecting the Unexpected: Responses to Business Disruption in the Pharmaceutical Industry (Invited Talks)","/aiche2020/event/0d1d699dad23fc26eacdbfd5952750b4"
58,0,"PD2M Plenary Session Part 2, Expecting the Unexpected: Responses to Business Disruption in the Pharmaceutical Industry (Invited Talks)","/aiche2020/event/7d1b67152194cb166004d468df5e8a4b"
66,0,"PD2M Panel Discussion Part 2- QbD based Filing: Realizing the Promise (Invited Talks)","/aiche2020/event/101534da-37ee-4c25-abcb-6caf2a778864"
6,0.142857142857143,"Continuous Processing in Drug Substance Development and Manufacturing","/aiche2020/event/97352d97-f49c-4cbd-9c58-bbb2c0d39cbb"
49,0.142857142857143,"PAT and Process Monitoring in Crystallization Development and Manufacturing","/aiche2020/event/32e0a629-0a10-4843-8d6f-283bfdd3ae2d"
56,0.142857142857143,"In-silico Tools for Integrated Process Design and Manufacturing","/aiche2020/event/038b172d-01b3-4263-9131-12326db2a548"
65,0.166666666666667,"PD2M Panel Discussion Part 1- QbD based Filing: Realizing the Promise (Invited Talks)","/aiche2020/event/0d1d699dad23fc26eacdbfd595270c62"
8,0.2,"Enabling Technologies for Drug Products and Devices","/aiche2020/event/7d1b67152194cb166004d468df45d17d"
11,0.2,"Control Strategies in Pharmaceutical Drug Substance and Biologics Development and Manufacturing","/aiche2020/event/9ae1ca37-3e1e-482d-a260-61c057e57885"
36,0.2,"Integrated Design for Drug Substance Processes","/aiche2020/event/e454cd27-1805-4a5c-abbd-ce8a3bed1ab4"
55,0.2,"Enabling Technologies for Drug Substance Synthesis","/aiche2020/event/51bb7722-fd1b-4bba-93a0-cfe782162dbe"
40,0.25,"Crystallization Process Development","/aiche2020/event/7d1b67152194cb166004d468df57755d"
61,0.25,"Advances in New Modalities (Large Molecule, Oligos, Peptides, ADCs, Gene therapy, etc.) Product and Process Development","/aiche2020/event/d3608de7-6744-4c0f-8177-1d39b3ccb91f"
10,0.285714285714286,"Continuous Processing in Drug Product Development and Manufacturing","/aiche2020/event/2e915ccf-c69d-48a2-8ee8-e4d5dcd2eb54"
12,0.333333333333333,"Crystallization of Pharmaceutical and Biological Molecules II","/aiche2020/event/c9b731a7-d885-4d9a-8dff-47ca116718c5"
