"author","n","affil_clean"
"meenesh r. singh",8,"university of illinois at chicago"
"niall mitchell",8,"process systems enterprise"
"zoltan k. nagy",8,"purdue university"
"andreas s. bommarius",7,"georgia tech"
"johannes g. khinast",7,"graz university of technology"
"ian rosbottom",6,"imperial college london"
"jerry y. y. heng",6,"imperial college london"
"martha a. grover",6,"georgia tech"
"nandkishor k. nere",6,"abbvie"
"ronald w. rousseau",6,"georgia tech"
"salvador garcía-muñoz",6,"eli lilly"
"hossein salami",5,"georgia tech"
"james d. litster",5,"university of sheffield"
"manish s. kelkar",5,"abbvie"
"matthew a. mcdonald",5,"georgia tech"
"brandon reizman",4,"eli lilly"
"claire s. adjiman",4,"imperial college london"
"fani boukouvala",4,"georgia tech"
"fernando muzzio",4,"rutgers university"
"gintaras v. reklaitis",4,"purdue university"
"hirokazu sugiyama",4,"university of tokyo"
"jeffrey d. rimer",4,"university of houston"
"nick sahinidis",4,"carnegie mellon university"
"pankaj doshi",4,"pfizer"
"paria coliaie",4,"university of illinois at chicago"
"patrick r. harris",4,"georgia tech"
"wenqian chen",4,"imperial college london"
